AYOJ,Oksapmin Airport,PG,Oksapmin,PG-SAN,OC,small_airport,-5.2261,142.2259,5140,
AYOK,Komako Airport,PG,Komako,PG-GPK,OC,small_airport,-7.3984,145.8827,3960,
AYOQ,Komaio Airport,PG,Komaio,PG-GPK,OC,small_airport,-7.2714,143.5952,28,
AYOS,Kosimbi Airstrip,PG,Kosimbi Mission,PG-ESW,OC,small_airport,-3.9522,143.1767,149,
AYOU,Kombaku Airstrip,PG,Kombaku,PG-MPM,OC,small_airport,-5.3817,144.6355,5400,
AYOW,Koroba Airport,PG,Koroba,PG-HE,OC,small_airport,-5.6952,142.7441,5638,
AYOX,Moi Airstrip,PG,Moi,PG-SAN,OC,small_airport,-4.1615,141.2478,240,
AYOY,Open Bay Airport,PG,Maitanakunai,PG-WBK,OC,small_airport,-4.794727,151.696195,33,
AYOZ,Kora Airstrip,PG,Kora,PG-EHG,OC,small_airport,-6.4304,145.0931,5745,
AYPA,Somokopa Airstrip,PG,Somokopa,PG-WPD,OC,small_airport,-7.0838,142.514,489,
AYPC,Pangoa Airport,PG,Pangoa,PG-WPD,OC,small_airport,-7.0226,141.5605,60,
AYPG,Pangia Airport,PG,Pangia,PG-SHM,OC,small_airport,-6.386,144.1084,5340,
AYPI,Kapi Airstrip,PG,Kapi,PG-CPK,OC,small_airport,-6.371,144.6839,3408,
AYPO,Mapoda Airport,PG,Mapoda,PG-WPD,OC,small_airport,-7.979,143.1694,45,
AYPQ,Pumani Airport,PG,Pumani,PG-MBA,OC,small_airport,-9.7469,149.4766,427,
AYPU,Puri Airport,PG,Puri,PG-SHM,OC,small_airport,-6.47516111111,143.987222222,6050,
AYPW,Panakawa Airport,PG,,PG-WPD,OC,small_airport,-7.67205555556,143.124722222,42,
AYPY,Port Moresby Jacksons International Airport,PG,Port Moresby,PG-NCD,OC,large_airport,-9.443380355834961,147.22000122070312,146,
AYQB,Simbari Airstrip,PG,Simbari,PG-EHG,OC,small_airport,-6.9623,145.6448,3560,
AYQM,Simogu Airstrip,PG,Simogu,PG-EHG,OC,small_airport,-6.8008,145.7134,4990,
AYQO,Sopu Airport,PG,Sopu,PG-CPM,OC,small_airport,-8.3038,147.1659,6580,
AYQS,Sialum Airport,PG,Sialum,PG-MPL,OC,small_airport,-6.0908,147.5955,170,
AYQU,Tsumba Airstrip,PG,Tsumba Mission,PG-MPM,OC,small_airport,-4.6581,144.6082,89,
AYQV,Sinow Airstrip,PG,Sinow,PG-SAN,OC,small_airport,-3.9925,141.5537,183,
AYQW,Sumwari Airstrip,PG,Sumwari,PG-ESW,OC,small_airport,-4.7508,142.3686,465,
AYRG,Rumginae Airport,PG,,PG-WPD,OC,small_airport,-5.89722222222,141.271666667,160,
AYRI,Karimui Airport,PG,Karimui,PG-CPK,OC,small_airport,-6.4921,144.823,3640,
AYRL,Maralina Airstrip,PG,Maralina,PG-MPL,OC,small_airport,-6.9015,146.3698,431,
AYRM,Maramuni Airport,PG,Maramuni,PG-EPW,OC,small_airport,-5.13,143.4829,5160,
AYRN,Norambi Airstrip.,PG,Norambi,PG-EHG,OC,small_airport,-6.9125,145.6731,5100,
AYRR,Tiri Airstrip,PG,Tiri,PG-SHM,OC,small_airport,-6.6815,144.1842,4545,
AYRT,Kirinbit Airstrip,PG,Kirinbit,PG-ESW,OC,small_airport,-4.2839,143.1512,60,
AYRV,May River Airstrip,PG,May River,PG-ESW,OC,small_airport,-4.3615,141.785,107,
