AYIS,Isan Airstrip,PG,Isan,PG-MPL,OC,small_airport,-5.9781,146.61975,6955,RUNWAY,1345,98,GRASS,0,0,16,,,,,,34,,,,,
AYIU,Ialibu Airport,PG,Ialibu,PG-SHM,OC,small_airport,-6.2782,143.9944,6736,RUNWAY,3478,196,,0,0,10,,,,,,28,,,,,
AYKJ,Kanainj Airport,PG,Kanainj,PG-MPM,OC,small_airport,-5.2903,144.7072,4064,RUNWAY,1273,,,0,0,09,,,,,,27,,,,,
AYKM,Kerema Airport,PG,Kerema,PG-GPK,OC,medium_airport,-7.96361017227,145.770996094,10,RUNWAY,3044,60,ASPHALT,0,0,14,-7.96,145.769,8,146,,32,-7.96694,145.774,9,326,
AYKR,Kar Kar Airport,PG,Kar Kar Island,PG-MPM,OC,small_airport,-4.557,145.9404,130,RUNWAY,2953,,,0,0,16,,,64,159.6,,34,,,150,339.6,
AYKT,Aropa Airport,PG,Kieta,PG-NSB,OC,small_airport,-6.305417,155.728139,20,RUNWAY,5397,,ASPHALT,0,0,14,,,,,,32,,,,,
AYKV,Kavieng Airport,PG,Kavieng,PG-NIK,OC,medium_airport,-2.57940006256,150.807998657,7,RUNWAY,5592,98,ASPHALT,1,0,12,-2.57498,150.802,13,124.9,,30,-2.58381,150.814,7,304.9,
AYLE,Lele Airstrip,PG,Leli,PG-EBR,OC,small_airport,-5.2192,151.3938,1600,RUNWAY,1969,98,,0,0,02,-5.2216,151.392,1600,29,,20,-5.2169,151.395,1450,209,
AYLH,Klauhau Airstrip,PG,Klauhau,PG-ESW,OC,small_airport,-4.1305,142.2495,130,RUNWAY,1969,98,GRASS,0,0,01,,,,,,19,,,,,
AYLO,Lowai Airport,PG,Lowai,PG-MPL,OC,small_airport,-6.3344,146.6458,2900,RUNWAY,1640,,,0,0,04,,,,,,22,,,,,
AYLS,Lese Airport,PG,Lese,PG-GPK,OC,small_airport,-8.2799,146.2765,40,RUNWAY,2520,,,0,0,12,,,,,,30,,,,,
AYLX,Long Island Airport,PG,Long Island,PG-MPM,OC,small_airport,-5.3604,147.0177,116,RUNWAY,2015,98,GRS,0,0,04,,,,,,22,,,,,
AYLZ,Slai Airstrip,PG,Slai,PG-ESW,OC,small_airport,-4.0322,143.1831,77,RUNWAY,2044,147,GRASS,0,0,10,,,,,,28,,,,,
